bike_ID,symboling,BikeName,fueltype,aspiration,drivewheel,enginelocation,wheelbase,bikelength,bikewidth,bikeheight,curbweight,enginetype,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,suzuki ay katana,benz,std,rwd,centr,88.6,168.8,64.1,48.8,2548,dohc,four,130,3.47,3.08,9,111,5000,21,27,13495
2,3,suzuki burgman,benz,std,rwd,centr,88.6,168.8,64.1,48.8,2548,dohc,four,130,3.47,3.08,9,111,5000,21,27,16500
3,1,suzuki an125,benz,std,rwd,centr,94.5,171.2,65.5,52.4,2823,ohcv,four,152,3.08,3.47,9,154,5000,19,26,16500
4,2,suzuki an250,benz,std,fwd,centr,99.8,176.6,66.2,54.3,2337,ohc,four,109,3.19,3.4,10,102,5500,24,30,13950
5,2,suzuki an400,benz,std,fwd,centr,99.4,176.6,66.4,54.3,2824,ohc,five,136,3.19,3.4,8,115,5500,18,22,17450
6,2,suzuki an650,benz,std,fwd,centr,99.8,177.3,66.3,53.1,2507,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,15250
7,1,suzuki burgman 400,benz,std,fwd,centr,105.8,192.7,71.4,55.7,2844,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,17710
8,1,suzuki gfx 1300 r,benz,std,fwd,centr,105.8,192.7,71.4,55.7,2954,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,18920
9,1,suzuki v-strom,benz,std,fwd,centr,105.8,192.7,71.4,55.9,3086,ohc,five,131,3.13,3.4,8.3,140,5500,17,20,23875
10,0,suzuki gtx-s gt,benz,std,fwd,centr,99.5,178.2,67.9,52,3053,ohc,five,131,3.13,3.4,7,160,5500,16,22,17859.167
11,2,suzuki gsx-s ,benz,std,rwd,centr,101.2,176.8,64.8,54.3,2395,ohc,four,108,3.5,2.8,8.8,101,5800,23,29,16430
12,0,suzuki sv,benz,std,rwd,centr,101.2,176.8,64.8,54.3,2395,ohc,four,108,3.5,2.8,8.8,101,5800,23,29,16925
13,0,sym crox,benz,std,rwd,centr,101.2,176.8,64.8,54.3,2710,ohc,two,164,3.31,3.19,9,121,4250,21,28,20970
14,0,sym cruisym,benz,std,rwd,centr,101.2,176.8,64.8,54.3,2765,ohc,two,164,3.31,3.19,9,121,4250,21,28,21105
15,1,sym fiddle,benz,std,rwd,retr,103.5,189,66.9,55.7,3055,ohc,two,164,3.31,3.19,9,121,4250,20,25,24565
16,0,sym hd,benz,std,rwd,retr,103.5,189,66.9,55.7,3230,ohc,two,209,4.02,3.39,8,182,5400,16,22,30760
17,0,sym jet 14,benz,std,rwd,retr,103.5,193.8,67.9,53.7,3380,ohc,two,209,4.02,3.39,8,182,5400,16,22,41315
